id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time
577765481,超凡蜘蛛侠,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1609913975.jpg,2012-08-27(中国大陆),https://movie.douban.com/subject/2129132/,7.6,"动作,科幻,奇幻",3,真心说，没有什么悬念，这片没什么看头,"蜘蛛侠,科幻,美国,漫画改编,漫画英雄,美国电影",2012-09-07 22:43:21
577764925,蝙蝠侠：黑暗骑士崛起,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1706428744.jpg,2012-08-27(中国大陆),https://movie.douban.com/subject/3395373/,8.8,"剧情,动作,科幻",,说实在的，没有前作有曲线，不过大作的本色未丢，画面感很强,"蝙蝠侠,美国,科幻,动作,超级英雄,漫画改编",2012-09-07 22:41:55
577764520,听风者,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1400056430.jpg,2012-08-07(中国大陆),https://movie.douban.com/subject/6041191/,6.9,"剧情,悬疑",4,伟仔的片子基本都没什么说的，这次的小清新演绎的异常到位,"谍战,剧情,悬疑,中国大陆,推理",2012-09-07 22:41:00
577763746,饥饿游戏,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2209718348.jpg,2012-06-14(中国大陆),https://movie.douban.com/subject/3592853/,7.1,"动作,科幻,冒险",3,名字很贴切，生理上的饥饿加上情绪上的饥饿使得结局更有可观性,"美国,科幻,人性,小说改编,动作",2012-09-07 22:39:11
577762372,普罗米修斯,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1548920463.jpg,2012-09-02(中国大陆),https://movie.douban.com/subject/3771562/,7.6,"科幻,惊悚,冒险",,在科幻片中算是烂的，制作成本这么高，官方还敢宣传是多年不见的科幻大作，真是浪费感情,"科幻,美国,异形",2012-09-07 22:36:00
572157394,隔绝,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1482124712.jpg,2012-01-13(美国),https://movie.douban.com/subject/4846693/,6.7,"科幻,悬疑,惊悚",,看完之后，真的很压抑，拷问人性的一部片子,人性,2012-08-24 16:13:08
456689069,失恋33天,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1252876266.jpg,2011-11-08(中国大陆),https://movie.douban.com/subject/4873490/,7.2,"剧情,爱情",5,,爱情,2011-11-12 16:09:57
221536719,忠犬八公物语,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2603716224.jpg,1987-08-01(日本),https://movie.douban.com/subject/1959195/,9.2,剧情,5,,狗狗,2010-02-24 23:40:47
217246918,天地玄黄,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2569956002.jpg,1992-09-15,https://movie.douban.com/subject/1300551/,9.1,纪录片,,,记录片,2010-02-15 00:23:19
45567614,一树梨花压海棠,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p571119308.jpg,1997-09-26(意大利),https://movie.douban.com/subject/1296778/,8.2,"剧情,爱情,情色",,,伦理,2008-06-18 22:35:57
45566259,千与千寻,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2557573348.jpg,2019-06-21(中国大陆),https://movie.douban.com/subject/1291561/,9.4,"剧情,动画,奇幻",,,千与千寻,2008-06-18 22:28:47
45566176,这个杀手不太冷,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p511118051.jpg,1994-09-14(法国),https://movie.douban.com/subject/1295644/,9.4,"剧情,动作,犯罪",,,,2008-06-18 22:28:21
45320296,练习曲,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1175865579.jpg,2007-04-27(中国台湾),https://movie.douban.com/subject/2055017/,8,剧情,3,,,2008-06-17 11:02:12
45197140,魔法奇缘,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1293401256.jpg,2007-11-21(美国),https://movie.douban.com/subject/1971111/,7.2,"喜剧,爱情,动画",3,,美国电影,2008-06-16 14:00:24
45197075,功夫熊猫,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1597238857.jpg,2008-06-20(中国大陆),https://movie.douban.com/subject/1783457/,8.2,"喜剧,动作,动画",3,,功夫熊猫,2008-06-16 13:59:47
45196101,士兵突击,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2240922426.jpg,2006-12-24(中国大陆),https://movie.douban.com/subject/2154096/,9.5,剧情,5,,士兵突击,2008-06-16 13:51:35
30523732,最遥远的距离,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p461627429.jpg,2007-11-02(中国台湾),https://movie.douban.com/subject/2230888/,6.9,"剧情,爱情",,,最遥远的距离,2008-02-04 04:52:35
